<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20230206,173000,152.9,153.1,152.7,152.7174,522562,0
AAPL.US,5,20230206,173500,152.72,152.84,152.61,152.8043,403862,0
AAPL.US,5,20230206,174000,152.81,152.95,152.62,152.88,451305,0
AAPL.US,5,20230206,174500,152.89,152.93,152.43,152.5386,459760,0
AAPL.US,5,20230206,175000,152.535,152.56,152.1701,152.2,406526,0
AAPL.US,5,20230206,175500,152.1999,152.33,151.98,152.035,449264,0
AAPL.US,5,20230206,180000,152.04,152.07,151.81,151.965,507631,0
AAPL.US,5,20230206,180500,151.97,152.39,151.951,152.222,543554,0
AAPL.US,5,20230206,181000,152.22,152.42,152.22,152.3,350486,0
AAPL.US,5,20230206,181500,152.295,152.4,152.0277,152.0277,397323,0
AAPL.US,5,20230206,182000,152.0283,152.34,152,152.205,344415,0
AAPL.US,5,20230206,182500,152.205,152.36,152.145,152.21,245123,0
AAPL.US,5,20230206,183000,152.2005,152.47,152.16,152.36,355552,0
AAPL.US,5,20230206,183500,152.36,152.68,152.3548,152.5,414773,0
AAPL.US,5,20230206,184000,152.5,152.72,152.415,152.48,315021,0
AAPL.US,5,20230206,184500,152.47,152.79,152.46,152.61,368629,0
AAPL.US,5,20230206,185000,152.61,152.68,152.41,152.48,239766,0
AAPL.US,5,20230206,185500,152.48,152.5116,152.36,152.428,237538,0
AAPL.US,5,20230206,190000,152.42,152.46,152.14,152.2789,333841,0
AAPL.US,5,20230206,190500,152.28,152.5194,152.12,152.2899,343790,0
AAPL.US,5,20230206,191000,152.29,152.43,151.92,152.41,446996,0
AAPL.US,5,20230206,191500,152.415,152.44,152.2101,152.4001,337511,0
AAPL.US,5,20230206,192000,152.4,152.45,152.09,152.15,445129,0
AAPL.US,5,20230206,192500,152.155,152.22,151.8,151.81,365977,0
AAPL.US,5,20230206,193000,151.815,151.99,151.76,151.795,396159,0
